,pvalue,FoldChange,log(pvalue),log2FC,sig,size
NAP1L1,0.6415390213430348,1.0140334472347534,0.1927769227051768,-0.020105239485124653,normal,0.10140334472347534
RPH3A,0.20133287952735987,1.0192826699592772,0.6960852950007769,-0.0275541987032121,normal,0.10192826699592772
CNTN1,0.6237265609506335,1.0146043632621207,0.2050057614343902,-0.020917269842569388,normal,0.10146043632621207
IARS,0.8247114715165491,1.0117916770054336,0.08369796447447438,-0.01691227670259982,normal,0.10117916770054336
ARHGAP44,0.18820436538253973,1.018648535666753,0.7253703073723057,-0.026656364246304395,normal,0.1018648535666753
PA2G4,0.5111949167357515,1.0265081774026152,0.29141347340323487,-0.03774512033614908,normal,0.10265081774026152
DBI,0.6637539901820471,1.0404919694667072,0.1779928551250341,-0.057265830373328296,normal,0.10404919694667072
NDUFA10,0.5487217481093185,1.0323476160395795,0.2606478265786746,-0.04592884236271158,normal,0.10323476160395795
ARF5,0.277581467361345,1.0237497683775643,0.5566095327826686,-0.03386312545790572,normal,0.10237497683775643
CAPZB,0.9331365552239858,1.004708072645415,0.030054796938730824,-0.006776373715506841,normal,0.1004708072645415
LDHA,0.5037466790170164,1.0202833127185102,0.2977878039562206,-0.028969816020363085,normal,0.10202833127185103
HSPA12A,0.5405080601280972,1.0143033747501076,0.267197825405294,-0.020489222151000342,normal,0.10143033747501076
ARHGEF2,0.5405214600960646,1.0331083024096939,0.26718705875732124,-0.0469915021790273,normal,0.10331083024096939
FBLN7,0.6567054743419996,1.0465930858454229,0.18262936338864613,-0.06570063315616056,normal,0.10465930858454228
BZW1,0.5890304057256042,1.0313236343985464,0.22986228637075828,-0.04449712851157662,normal,0.10313236343985463
PSMA7,0.6697225656699328,1.03869466777889,0.17410506767450126,-0.054771625349697484,normal,0.103869466777889
BDH1,0.6366588275779821,1.0344679777820742,0.19609323484458124,-0.04888898689919617,normal,0.10344679777820742
TLN2,0.39385275390845664,1.015079383301696,0.40466611349778786,-0.02159255639308799,normal,0.1015079383301696
NAP1L4,0.9908651857961728,1.00086328504497,0.003985430325653554,-0.00124491977022428,normal,0.10008632850449699
LEPR,0.8709612662986943,0.9709196959897809,0.06000115866258765,0.04257611848932077,normal,0.09709196959897809
PRMT5,0.40008352400025415,1.0247228044948007,0.39784933310764836,-0.03523370225264798,normal,0.10247228044948006
ARHGAP39,0.9311282946913236,0.9910636577417499,0.030990476013482773,0.012950367688723364,normal,0.09910636577417499
VPS26B,0.6101143802654708,1.0342872427597098,0.2145887386589125,-0.048636907273192725,normal,0.10342872427597098
PRKAA1,0.98714051431109,0.998819743237306,0.005621023372447936,0.0017037562113047747,normal,0.09988197432373061
GRIN2B,0.4538705297778445,1.0180801080996496,0.3430680154734341,-0.025851085000130537,normal,0.10180801080996496
HSP90B1,0.5626190806591718,1.0137418532336997,0.2497855432613413,-0.0196903205125189,normal,0.10137418532336998
SCRN3,0.9418439929670473,0.9927081777161737,0.026021027785193065,0.01055841785576151,normal,0.09927081777161736
GRB2,0.14780018628795774,1.021152034049554,0.8303250185543114,-0.030197677616712798,normal,0.10211520340495539
PHACTR1,0.2919088538478495,1.01634217663479,0.5347527322851947,-0.02338620272422692,normal,0.10163421766347899
FABP5,0.9920029412262871,1.0006595657610484,0.003487040188106769,-0.0009512385848772941,normal,0.10006595657610484
TMX2,0.7374944202975354,1.0866535266322086,0.1322412611032337,-0.11989201848013628,normal,0.10866535266322086
TOM1L2,0.8879897273197721,1.0064887913656222,0.051592058313902164,-0.009331105958931945,normal,0.10064887913656222
CLTC,0.9342968425358947,1.0043398844949518,0.029515118851755555,-0.006247582729859988,normal,0.10043398844949518
ETFB,0.5352555440035089,1.013656531969763,0.27143882572869027,-0.019568891428491945,normal,0.1013656531969763
