,ivl,module,name
4933403M22Rik,1504,11,MMT00046247
BC027127,564,11,MMT00016682
,817,11,MMT00025152
Chml,1727,11,MMT00052525
4930562N12Rik,919,11,MMT00028383
Cntnap2,555,11,MMT00016275
Nsd1,1112,11,MMT00034129
,2039,11,MMT00061598
,102,11,MMT00003506
,626,11,MMT00018824
,1012,11,MMT00030890
Sult1d1,1264,11,MMT00038889
9030611N15Rik,1866,11,MMT00056045
4930432O21Rik,1908,11,MMT00057549
Slco1b2,2777,11,MMT00082798
BC049806,2781,11,MMT00082850
Chm,1210,11,MMT00037060
Osbpl8,2736,11,MMT00081300
4733401N12Rik,1750,11,MMT00053112
6720480D16Rik,2091,11,MMT00063369
Actr6,2342,11,MMT00071213
,945,11,MMT00029122
LOC224598,847,11,MMT00025899
Zfp71-rs1,1203,11,MMT00036715
,264,11,MMT00008184
2310001H12Rik,2125,11,MMT00064436
2310001H12Rik,2371,11,MMT00071947
Atad1,1520,11,MMT00046620
,2595,11,MMT00077564
Ttpa,449,11,MMT00013170
,569,11,MMT00016824
Osgepl1,2670,11,MMT00079275
Cggbp1,2475,11,MMT00074640
Yme1l1,404,11,MMT00012023
4932432K03Rik,1139,11,MMT00034861
,538,11,MMT00015864
6330416L07Rik,129,11,MMT00004326
Zfp617,928,11,MMT00028618
,89,11,MMT00003107
Matr3,845,11,MMT00025869
4930469P12Rik,211,11,MMT00006794
AA407452,548,11,MMT00016033
Gnpnat1,828,11,MMT00025372
Gnpnat1,1284,11,MMT00039396
D3Jfr1,1266,11,MMT00038919
6030408C04Rik,1046,11,MMT00031742
Bche,2540,11,MMT00076328
,66,11,MMT00002151
AW011752,397,11,MMT00011906
Mpp5,708,11,MMT00021626
Kif5b,1729,11,MMT00052548
Tes3,2244,11,MMT00068330
Tes3,2525,11,MMT00075930
,1872,11,MMT00056302
AI648866,700,11,MMT00021143
Nol5a,717,11,MMT00021830
2810405K07Rik,75,11,MMT00002391
1810033A06Rik,1822,11,MMT00054886
Zc3hdc8,1118,11,MMT00034230
F630045L20Rik,2157,11,MMT00065758
Nola3,1298,11,MMT00039920
Sdh1,1137,11,MMT00034813
,290,11,MMT00008996
A930025J12Rik,1945,11,MMT00058733
Mpo,916,11,MMT00028239
Ctsg,2385,11,MMT00072302
Ms4a3,1223,11,MMT00037491
S100a8,2647,11,MMT00078706
A930010I20Rik,1850,11,MMT00055460
,401,11,MMT00011949
,582,11,MMT00017420
AU020772,358,11,MMT00010911
Kcnk7,418,11,MMT00012404
Syt9,1403,11,MMT00043189
4732416F18,799,11,MMT00024574
Olfr837,1947,11,MMT00058760
Plagl1,2784,11,MMT00082906
4930544G11Rik,434,11,MMT00012901
Dsg1a,1918,11,MMT00058057
Gjc1,467,11,MMT00013799
Ccl22,2176,11,MMT00066052
Pou4f1,230,11,MMT00007426
A530088H08Rik,2444,11,MMT00073988
9130430E04,2080,11,MMT00062961
4921506M07Rik,71,11,MMT00002227
Dfy,1368,11,MMT00042243
Pkd1l3,1417,11,MMT00043731
Ppnr,1107,11,MMT00033859
AF119384,1680,11,MMT00051109
Gasz,587,11,MMT00017484
Gabbr1,1194,11,MMT00036491
,2560,11,MMT00076817
,2099,11,MMT00063655
4930405D01Rik,1517,11,MMT00046531
,2578,11,MMT00077174
Ssxb2,310,11,MMT00009589
Sbp,1491,11,MMT00046048
Syt13,1731,11,MMT00052576
Hils1,2411,11,MMT00072905
Dscr1l2,320,11,MMT00009904
,1725,11,MMT00052444
Pipox,2276,11,MMT00069257
,1744,11,MMT00052926
Ppargc1a,489,11,MMT00014421
6720451F06Rik,699,11,MMT00021110
Arsa,232,11,MMT00007603
Fmo3,438,11,MMT00012992
Mtnr1a,2177,11,MMT00066141
Apom,1014,11,MMT00030931
Cyp2g1,1141,11,MMT00034916
Npdc1,247,11,MMT00007859
Npn3,186,11,MMT00006230
9230112O05Rik,295,11,MMT00009272
Fsp27,1286,11,MMT00039459
1110028A07Rik,2089,11,MMT00063359
Igfbp2,879,11,MMT00026944
D19Wsu12e,1329,11,MMT00040982
Tax1bp3,1847,11,MMT00055441
2410004L22Rik,2368,11,MMT00071857
Ccbl1,1613,11,MMT00049092
Synpo,1790,11,MMT00054136
AA960558,1873,11,MMT00056362
Cbr3,1116,11,MMT00034198
Col4a1,2377,11,MMT00072057
Msx2,930,11,MMT00028683
Ahcy,381,11,MMT00011446
,1685,11,MMT00051244
Slc43a1,2031,11,MMT00061313
Cyp2c50,1610,11,MMT00048978
Cyp2c37,2374,11,MMT00072000
Cyp2c54,363,11,MMT00011089
2810006K23Rik,807,11,MMT00024800
